"filename", "language", "Vue", "comment", "blank", "total"
"/code/CUGOj-Client/CUGOj-Client/src/App.vue", "Vue", 24, 0, 5, 29
"/code/CUGOj-Client/CUGOj-Client/src/components/admin/common/AdminAccordion.vue", "Vue", 104, 0, 14, 118
"/code/CUGOj-Client/CUGOj-Client/src/components/admin/common/AdminMakedown.vue", "Vue", 26, 0, 3, 29
"/code/CUGOj-Client/CUGOj-Client/src/components/admin/common/AdminNavBar.vue", "Vue", 71, 0, 3, 74
"/code/CUGOj-Client/CUGOj-Client/src/components/oj/basic/BaseNavBar.vue", "Vue", 115, 0, 5, 120
"/code/CUGOj-Client/CUGOj-Client/src/components/oj/common/OjCodeEditor.vue", "Vue", 212, 0, 17, 229
"/code/CUGOj-Client/CUGOj-Client/src/components/oj/common/OjFooter.vue", "Vue", 9, 0, 3, 12
"/code/CUGOj-Client/CUGOj-Client/src/components/oj/common/OjLeftDrawer.vue", "Vue", 33, 0, 11, 44
"/code/CUGOj-Client/CUGOj-Client/src/components/oj/common/OjLogin.vue", "Vue", 183, 0, 10, 193
"/code/CUGOj-Client/CUGOj-Client/src/components/oj/common/OjNavBar.vue", "Vue", 208, 0, 12, 220
"/code/CUGOj-Client/CUGOj-Client/src/components/oj/common/OjRegister.vue", "Vue", 324, 0, 12, 336
"/code/CUGOj-Client/CUGOj-Client/src/views/Oj.vue", "Vue", 148, 0, 17, 165
"/code/CUGOj-Client/CUGOj-Client/src/views/OjNotFound.vue", "Vue", 9, 0, 3, 12
"/code/CUGOj-Client/CUGOj-Client/src/views/admin/AdminHome.vue", "Vue", 76, 0, 11, 87
"/code/CUGOj-Client/CUGOj-Client/src/views/admin/AdminLogin.vue", "Vue", 94, 0, 3, 97
"/code/CUGOj-Client/CUGOj-Client/src/views/admin/contest/AdminContestCreate.vue", "Vue", 540, 8, 26, 574
"/code/CUGOj-Client/CUGOj-Client/src/views/admin/contest/AdminContestEdit.vue", "Vue", 567, 6, 30, 603
"/code/CUGOj-Client/CUGOj-Client/src/views/admin/contest/AdminContestList.vue", "Vue", 178, 0, 12, 190
"/code/CUGOj-Client/CUGOj-Client/src/views/admin/problem/AdminCasesEdit.vue", "Vue", 655, 0, 19, 674
"/code/CUGOj-Client/CUGOj-Client/src/views/admin/problem/AdminProblemCreate.vue", "Vue", 365, 0, 8, 373
"/code/CUGOj-Client/CUGOj-Client/src/views/admin/problem/AdminProblemEdit.vue", "Vue", 371, 1, 6, 378
"/code/CUGOj-Client/CUGOj-Client/src/views/admin/problem/AdminProblems.vue", "Vue", 177, 0, 8, 185
"/code/CUGOj-Client/CUGOj-Client/src/views/admin/user/AdminUsers.vue", "Vue", 90, 0, 6, 96
"/code/CUGOj-Client/CUGOj-Client/src/views/oj/OjHome.vue", "Vue", 99, 0, 11, 110
"/code/CUGOj-Client/CUGOj-Client/src/views/oj/about/OjAbout.vue", "Vue", 7, 0, 6, 13
"/code/CUGOj-Client/CUGOj-Client/src/views/oj/contest/OjContestDetail.vue", "Vue", 248, 0, 14, 262
"/code/CUGOj-Client/CUGOj-Client/src/views/oj/contest/OjContestList.vue", "Vue", 465, 12, 22, 499
"/code/CUGOj-Client/CUGOj-Client/src/views/oj/discuss/OjDiscuss.vue", "Vue", 7, 0, 3, 10
"/code/CUGOj-Client/CUGOj-Client/src/views/oj/evaluation/OjEvaluation.vue", "Vue", 290, 0, 10, 300
"/code/CUGOj-Client/CUGOj-Client/src/views/oj/practice/OjPractice.vue", "Vue", 183, 0, 4, 187
"/code/CUGOj-Client/CUGOj-Client/src/views/oj/problem/OjContestProblem.vue", "Vue", 0, 0, 1, 1
"/code/CUGOj-Client/CUGOj-Client/src/views/oj/problem/OjProblem.vue", "Vue", 220, 0, 12, 232
"/code/CUGOj-Client/CUGOj-Client/src/views/oj/problem/OjProblemDetails.vue", "Vue", 481, 0, 14, 495
"/code/CUGOj-Client/CUGOj-Client/src/views/oj/rank/OjRank.vue", "Vue", 63, 0, 4, 67
"/code/CUGOj-Client/CUGOj-Client/src/views/oj/team/OjTeam.vue", "Vue", 7, 0, 4, 11
"/code/CUGOj-Client/CUGOj-Client/src/views/oj/user/OjUserHome.vue", "Vue", 87, 0, 10, 97
"Total", "-", 6736, 27, 359, 7122